path,label,label_name,dataset,scene,camera,weather,split
data/raw/CNRPark-EXT/PATCHES/free/cnr_free_0026.jpg,0,empty,cnrpark_ext,unknown,unknown,unknown,train
data/raw/PKLot/PKLotSegmented/UFPR04/Sunny/Occupied/UFPR04_Sunny_Occupied_0012.jpg,1,occupied,pklot,UFPR04,UFPR04,sunny,train
data/raw/CNRPark-EXT/PATCHES/busy/cnr_busy_0018.jpg,1,occupied,cnrpark_ext,unknown,unknown,unknown,train
data/raw/PKLot/PKLotSegmented/PUC/Cloudy/Empty/PUC_Cloudy_Empty_0002.jpg,0,empty,pklot,PUC,PUC,cloudy,train
data/raw/PKLot/PKLotSegmented/PUC/Cloudy/Empty/PUC_Cloudy_Empty_0003.jpg,0,empty,pklot,PUC,PUC,cloudy,train
data/raw/PKLot/PKLotSegmented/UFPR04/Cloudy/Occupied/UFPR04_Cloudy_Occupied_0001.jpg,1,occupied,pklot,UFPR04,UFPR04,cloudy,train
data/raw/PKLot/PKLotSegmented/PUC/Rainy/Empty/PUC_Rainy_Empty_0002.jpg,0,empty,pklot,PUC,PUC,rainy,train
data/raw/PKLot/PKLotSegmented/UFPR04/Sunny/Occupied/UFPR04_Sunny_Occupied_0003.jpg,1,occupied,pklot,UFPR04,UFPR04,sunny,train
data/raw/CNRPark-EXT/PATCHES/busy/cnr_busy_0023.jpg,1,occupied,cnrpark_ext,unknown,unknown,unknown,train
data/raw/PKLot/PKLotSegmented/UFPR04/Cloudy/Empty/UFPR04_Cloudy_Empty_0005.jpg,0,empty,pklot,UFPR04,UFPR04,cloudy,train
data/raw/PKLot/PKLotSegmented/UFPR04/Cloudy/Empty/UFPR04_Cloudy_Empty_0012.jpg,0,empty,pklot,UFPR04,UFPR04,cloudy,train
data/raw/CNRPark-EXT/PATCHES/busy/cnr_busy_0037.jpg,1,occupied,cnrpark_ext,unknown,unknown,unknown,train
data/raw/PKLot/PKLotSegmented/UFPR04/Sunny/Empty/UFPR04_Sunny_Empty_0007.jpg,0,empty,pklot,UFPR04,UFPR04,sunny,train
data/raw/PKLot/PKLotSegmented/UFPR04/Rainy/Empty/UFPR04_Rainy_Empty_0012.jpg,0,empty,pklot,UFPR04,UFPR04,rainy,train
data/raw/PKLot/PKLotSegmented/UFPR04/Rainy/Occupied/UFPR04_Rainy_Occupied_0009.jpg,1,occupied,pklot,UFPR04,UFPR04,rainy,train
data/raw/PKLot/PKLotSegmented/PUC/Cloudy/Occupied/PUC_Cloudy_Occupied_0012.jpg,1,occupied,pklot,PUC,PUC,cloudy,train
data/raw/PKLot/PKLotSegmented/PUC/Rainy/Occupied/PUC_Rainy_Occupied_0012.jpg,1,occupied,pklot,PUC,PUC,rainy,train
data/raw/PKLot/PKLotSegmented/PUC/Cloudy/Occupied/PUC_Cloudy_Occupied_0002.jpg,1,occupied,pklot,PUC,PUC,cloudy,train
