path,label,label_name,dataset,scene,camera,weather,split,y_pred,prob
data/raw/CNRPark-EXT/PATCHES/free/cnr_free_0001.jpg,0,empty,cnrpark_ext,unknown,unknown,unknown,test,1,0.5020148
data/raw/PKLot/PKLotSegmented/PUC/Rainy/Empty/PUC_Rainy_Empty_0006.jpg,0,empty,pklot,PUC,PUC,rainy,test,1,0.50626254
data/raw/PKLot/PKLotSegmented/UFPR04/Sunny/Empty/UFPR04_Sunny_Empty_0000.jpg,0,empty,pklot,UFPR04,UFPR04,sunny,test,1,0.5058125
data/raw/CNRPark-EXT/PATCHES/free/cnr_free_0037.jpg,0,empty,cnrpark_ext,unknown,unknown,unknown,test,1,0.51736397
data/raw/CNRPark-EXT/PATCHES/busy/cnr_busy_0036.jpg,1,occupied,cnrpark_ext,unknown,unknown,unknown,test,0,0.43075648
data/raw/CNRPark-EXT/PATCHES/free/cnr_free_0014.jpg,0,empty,cnrpark_ext,unknown,unknown,unknown,test,1,0.5192086
data/raw/PKLot/PKLotSegmented/PUC/Sunny/Empty/PUC_Sunny_Empty_0005.jpg,0,empty,pklot,PUC,PUC,sunny,test,1,0.5514413
data/raw/PKLot/PKLotSegmented/UFPR04/Cloudy/Empty/UFPR04_Cloudy_Empty_0000.jpg,0,empty,pklot,UFPR04,UFPR04,cloudy,test,1,0.51437604
data/raw/PKLot/PKLotSegmented/PUC/Cloudy/Empty/PUC_Cloudy_Empty_0001.jpg,0,empty,pklot,PUC,PUC,cloudy,test,1,0.5275402
data/raw/PKLot/PKLotSegmented/PUC/Sunny/Empty/PUC_Sunny_Empty_0008.jpg,0,empty,pklot,PUC,PUC,sunny,test,1,0.51688886
data/raw/PKLot/PKLotSegmented/PUC/Cloudy/Occupied/PUC_Cloudy_Occupied_0003.jpg,1,occupied,pklot,PUC,PUC,cloudy,test,0,0.49308243
data/raw/PKLot/PKLotSegmented/UFPR04/Cloudy/Occupied/UFPR04_Cloudy_Occupied_0010.jpg,1,occupied,pklot,UFPR04,UFPR04,cloudy,test,0,0.49565703
data/raw/PKLot/PKLotSegmented/PUC/Sunny/Occupied/PUC_Sunny_Occupied_0005.jpg,1,occupied,pklot,PUC,PUC,sunny,test,0,0.42534027
data/raw/PKLot/PKLotSegmented/UFPR04/Rainy/Empty/UFPR04_Rainy_Empty_0006.jpg,0,empty,pklot,UFPR04,UFPR04,rainy,test,1,0.5349817
data/raw/CNRPark-EXT/PATCHES/busy/cnr_busy_0006.jpg,1,occupied,cnrpark_ext,unknown,unknown,unknown,test,0,0.47834304
data/raw/PKLot/PKLotSegmented/PUC/Cloudy/Empty/PUC_Cloudy_Empty_0012.jpg,0,empty,pklot,PUC,PUC,cloudy,test,1,0.5115309
data/raw/PKLot/PKLotSegmented/UFPR04/Cloudy/Empty/UFPR04_Cloudy_Empty_0008.jpg,0,empty,pklot,UFPR04,UFPR04,cloudy,test,1,0.51911926
data/raw/PKLot/PKLotSegmented/UFPR04/Rainy/Empty/UFPR04_Rainy_Empty_0007.jpg,0,empty,pklot,UFPR04,UFPR04,rainy,test,1,0.5113839
data/raw/CNRPark-EXT/PATCHES/free/cnr_free_0021.jpg,0,empty,cnrpark_ext,unknown,unknown,unknown,test,1,0.554669
data/raw/CNRPark-EXT/PATCHES/free/cnr_free_0020.jpg,0,empty,cnrpark_ext,unknown,unknown,unknown,test,1,0.5128226
data/raw/PKLot/PKLotSegmented/UFPR04/Sunny/Empty/UFPR04_Sunny_Empty_0001.jpg,0,empty,pklot,UFPR04,UFPR04,sunny,test,1,0.51091063
data/raw/CNRPark-EXT/PATCHES/busy/cnr_busy_0014.jpg,1,occupied,cnrpark_ext,unknown,unknown,unknown,test,0,0.47722718
data/raw/CNRPark-EXT/PATCHES/free/cnr_free_0029.jpg,0,empty,cnrpark_ext,unknown,unknown,unknown,test,1,0.51218283
