path,label,label_name,dataset,scene,camera,weather,split,y_pred,prob
data/raw/PKLot/PKLotSegmented/PUC/Sunny/Empty/PUC_Sunny_Empty_0001.jpg,0,empty,pklot,PUC,PUC,sunny,test,1,0.8787753
data/raw/PKLot/PKLotSegmented/PUC/Rainy/Occupied/PUC_Rainy_Occupied_0008.jpg,1,occupied,pklot,PUC,PUC,rainy,test,0,0.008448599
data/raw/PKLot/PKLotSegmented/UFPR04/Cloudy/Empty/UFPR04_Cloudy_Empty_0007.jpg,0,empty,pklot,UFPR04,UFPR04,cloudy,test,1,0.89398956
data/raw/PKLot/PKLotSegmented/UFPR04/Sunny/Occupied/UFPR04_Sunny_Occupied_0001.jpg,1,occupied,pklot,UFPR04,UFPR04,sunny,test,0,0.11003196
data/raw/PKLot/PKLotSegmented/UFPR04/Cloudy/Occupied/UFPR04_Cloudy_Occupied_0012.jpg,1,occupied,pklot,UFPR04,UFPR04,cloudy,test,0,0.032661453
data/raw/CNRPark-EXT/PATCHES/free/cnr_free_0027.jpg,0,empty,cnrpark_ext,unknown,unknown,unknown,test,1,0.9034515
data/raw/PKLot/PKLotSegmented/PUC/Rainy/Empty/PUC_Rainy_Empty_0011.jpg,0,empty,pklot,PUC,PUC,rainy,test,1,0.92651373
data/raw/PKLot/PKLotSegmented/PUC/Rainy/Occupied/PUC_Rainy_Occupied_0010.jpg,1,occupied,pklot,PUC,PUC,rainy,test,0,0.003066556
data/raw/PKLot/PKLotSegmented/UFPR04/Sunny/Occupied/UFPR04_Sunny_Occupied_0011.jpg,1,occupied,pklot,UFPR04,UFPR04,sunny,test,0,0.09906332
data/raw/PKLot/PKLotSegmented/PUC/Cloudy/Empty/PUC_Cloudy_Empty_0001.jpg,0,empty,pklot,PUC,PUC,cloudy,test,1,0.8918963
data/raw/CNRPark-EXT/PATCHES/busy/cnr_busy_0000.jpg,1,occupied,cnrpark_ext,unknown,unknown,unknown,test,0,0.015488965
data/raw/PKLot/PKLotSegmented/UFPR04/Rainy/Empty/UFPR04_Rainy_Empty_0006.jpg,0,empty,pklot,UFPR04,UFPR04,rainy,test,1,0.9134165
data/raw/CNRPark-EXT/PATCHES/free/cnr_free_0001.jpg,0,empty,cnrpark_ext,unknown,unknown,unknown,test,1,0.8847773
data/raw/PKLot/PKLotSegmented/UFPR04/Sunny/Empty/UFPR04_Sunny_Empty_0002.jpg,0,empty,pklot,UFPR04,UFPR04,sunny,test,1,0.89423645
data/raw/PKLot/PKLotSegmented/UFPR04/Rainy/Empty/UFPR04_Rainy_Empty_0009.jpg,0,empty,pklot,UFPR04,UFPR04,rainy,test,1,0.93760896
data/raw/PKLot/PKLotSegmented/PUC/Rainy/Occupied/PUC_Rainy_Occupied_0001.jpg,1,occupied,pklot,PUC,PUC,rainy,test,0,0.012120539
data/raw/PKLot/PKLotSegmented/UFPR04/Sunny/Occupied/UFPR04_Sunny_Occupied_0004.jpg,1,occupied,pklot,UFPR04,UFPR04,sunny,test,0,0.025184708
data/raw/PKLot/PKLotSegmented/PUC/Rainy/Occupied/PUC_Rainy_Occupied_0007.jpg,1,occupied,pklot,PUC,PUC,rainy,test,0,0.047581032
data/raw/CNRPark-EXT/PATCHES/busy/cnr_busy_0011.jpg,1,occupied,cnrpark_ext,unknown,unknown,unknown,test,0,0.021676645
data/raw/PKLot/PKLotSegmented/PUC/Sunny/Occupied/PUC_Sunny_Occupied_0011.jpg,1,occupied,pklot,PUC,PUC,sunny,test,0,0.049555104
data/raw/PKLot/PKLotSegmented/UFPR04/Rainy/Occupied/UFPR04_Rainy_Occupied_0006.jpg,1,occupied,pklot,UFPR04,UFPR04,rainy,test,0,0.022283522
data/raw/CNRPark-EXT/PATCHES/free/cnr_free_0020.jpg,0,empty,cnrpark_ext,unknown,unknown,unknown,test,1,0.9264679
data/raw/PKLot/PKLotSegmented/UFPR04/Rainy/Occupied/UFPR04_Rainy_Occupied_0012.jpg,1,occupied,pklot,UFPR04,UFPR04,rainy,test,0,0.013711823
data/raw/PKLot/PKLotSegmented/PUC/Sunny/Occupied/PUC_Sunny_Occupied_0006.jpg,1,occupied,pklot,PUC,PUC,sunny,test,0,0.1475527
data/raw/PKLot/PKLotSegmented/PUC/Sunny/Occupied/PUC_Sunny_Occupied_0002.jpg,1,occupied,pklot,PUC,PUC,sunny,test,0,0.036655013
data/raw/PKLot/PKLotSegmented/PUC/Cloudy/Occupied/PUC_Cloudy_Occupied_0000.jpg,1,occupied,pklot,PUC,PUC,cloudy,test,0,0.07846847
data/raw/PKLot/PKLotSegmented/UFPR04/Cloudy/Empty/UFPR04_Cloudy_Empty_0000.jpg,0,empty,pklot,UFPR04,UFPR04,cloudy,test,1,0.8944063
data/raw/CNRPark-EXT/PATCHES/free/cnr_free_0008.jpg,0,empty,cnrpark_ext,unknown,unknown,unknown,test,1,0.95757675
data/raw/CNRPark-EXT/PATCHES/free/cnr_free_0009.jpg,0,empty,cnrpark_ext,unknown,unknown,unknown,test,1,0.87262106
data/raw/CNRPark-EXT/PATCHES/free/cnr_free_0021.jpg,0,empty,cnrpark_ext,unknown,unknown,unknown,test,1,0.8826904
data/raw/PKLot/PKLotSegmented/PUC/Cloudy/Empty/PUC_Cloudy_Empty_0008.jpg,0,empty,pklot,PUC,PUC,cloudy,test,1,0.88091964
data/raw/PKLot/PKLotSegmented/PUC/Cloudy/Empty/PUC_Cloudy_Empty_0007.jpg,0,empty,pklot,PUC,PUC,cloudy,test,1,0.8905911
data/raw/CNRPark-EXT/PATCHES/free/cnr_free_0028.jpg,0,empty,cnrpark_ext,unknown,unknown,unknown,test,1,0.8558031
data/raw/PKLot/PKLotSegmented/PUC/Cloudy/Occupied/PUC_Cloudy_Occupied_0001.jpg,1,occupied,pklot,PUC,PUC,cloudy,test,0,0.057597216
data/raw/PKLot/PKLotSegmented/PUC/Rainy/Empty/PUC_Rainy_Empty_0003.jpg,0,empty,pklot,PUC,PUC,rainy,test,1,0.9110948
data/raw/PKLot/PKLotSegmented/PUC/Cloudy/Occupied/PUC_Cloudy_Occupied_0009.jpg,1,occupied,pklot,PUC,PUC,cloudy,test,0,0.08064395
